algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-attr-accuracy,0-accuracy_over_1-accuracy,sensitive-attr-accuracyRatio,diff:1-accuracyto0-accuracy,sensitive-attr-accuracyDiff,0-TPR,1-TPR,sensitive-attr-TPR,0-TPR_over_1-TPR,sensitive-attr-TPRRatio,diff:1-TPRto0-TPR,sensitive-attr-TPRDiff,0-TNR,1-TNR,sensitive-attr-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,sensitive-attr-TNRDiff,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,sensitive-attr-FPRDiff,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-attr-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,sensitive-attr-calibration+Diff,0-calibration-,1-calibration-,sensitive-attr-calibration-,0-calibration-_over_1-calibration-,sensitive-attr-calibration-Ratio,diff:1-calibration-to0-calibration-,sensitive-attr-calibration-Diff
SVM,,0,0.9701492537313433,1.0,0.6,0.8,0.7623975340988453,0.9117647058823529,0.9117647058823529,0.9117647058823529,0.9705882352941176,0.9696969696969697,0.9701426024955437,1.0009191176470589,1.0009191176470589,1.000891265597148,1.000891265597148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.375,0.0,1.0,1.75,1.75,0.25,1.0,0.625,0.25,0.25,0.25,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.967741935483871,0.9696969696969697,0.9687194525904204,0.997983870967742,0.997983870967742,0.9980449657869013,0.9980449657869013,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,1,0.9850746268656716,1.0,0.75,0.875,0.85923294280422,0.90625,0.90625,0.90625,0.96875,1.0,0.984375,0.96875,0.96875,0.96875,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.25,0.0,0.125,0.0,1.0,1.25,1.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104,1.0,0.9827586206896552,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,2,0.9552238805970149,1.0,0.25,0.625,0.4885042104591972,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9393939393939394,0.9549910873440286,1.0332068311195446,1.0332068311195446,1.0311942959001783,1.0311942959001783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,0.9393939393939394,0.9545454545454546,1.032258064516129,1.032258064516129,1.0303030303030303,1.0303030303030303,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,3,0.9701492537313433,1.0,0.5,0.75,0.6961432213383857,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.972972972972973,0.9666666666666667,0.9698198198198198,1.0065237651444547,1.0065237651444547,1.0063063063063065,1.0063063063063065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,1.6666666666666665,1.6666666666666665,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9666666666666667,0.969047619047619,1.0049261083743841,1.0049261083743841,1.0047619047619047,1.0047619047619047,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,4,0.9850746268656716,1.0,0.6666666666666666,0.8333333333333333,0.8101914936669333,1.0046296296296295,1.0046296296296295,1.0044802867383513,0.9722222222222222,1.0,0.9861111111111112,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,5,0.9701492537313433,1.0,0.3333333333333333,0.6666666666666666,0.5685352436149612,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428,1.0,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.33333333333333326,0.33333333333333326,0.6666666666666667,0.0,0.33333333333333337,0.0,1.0,1.6666666666666667,1.6666666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,6,1.0,1.0,1.0,1.0,1.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,7,0.9850746268656716,1.0,0.75,0.875,0.85923294280422,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9696969696969697,1.0,0.9848484848484849,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9696969696969697,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.25,0.0,0.125,0.0,1.0,1.25,1.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666667,1.0,0.9833333333333334,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.0,1.0,0.5,0.0,1.0,0.0,1.0
SVM,,8,0.9552238805970149,1.0,0.5,0.75,0.6903350635742038,0.9622119815668202,0.9622119815668202,0.9632616487455197,0.9032258064516129,1.0,0.9516129032258065,0.9032258064516129,0.9032258064516129,0.9032258064516129,0.9032258064516129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.7,0.4,0.4,0.4,0.4,0.6,0.0,0.3,0.0,1.0,1.6,1.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.896551724137931,1.0,0.9482758620689655,0.896551724137931,0.896551724137931,0.896551724137931,0.896551724137931,0.0,0.0,1.0,1.0,1.0,1.0,1.0
SVM,,9,0.9850746268656716,1.0,0.6666666666666666,0.8333333333333333,0.8101914936669333,1.0084586466165413,1.0084586466165413,1.0081669691470054,0.9736842105263158,1.0,0.986842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,0.9864864864864865,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.0,0.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,0,0.9552238805970149,1.0,0.4,0.7,0.6176879969195301,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9696969696969697,0.9554367201426025,0.9705882352941176,0.9705882352941176,0.9714795008912656,0.9714795008912656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.9696969696969697,0.9535984848484849,0.966796875,0.966796875,0.9678030303030303,0.9678030303030303,0.0,1.0,0.5,0.0,1.0,0.0,1.0
GaussianNB,,1,0.9850746268656716,1.0,0.75,0.875,0.85923294280422,0.90625,0.90625,0.90625,0.96875,1.0,0.984375,0.96875,0.96875,0.96875,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.875,0.75,0.75,0.75,0.75,0.25,0.0,0.125,0.0,1.0,1.25,1.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9655172413793104,1.0,0.9827586206896552,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.0,1.0,0.5,0.0,1.0,0.0,1.0
GaussianNB,,2,0.9402985074626866,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.9411764705882353,0.9393939393939394,0.9402852049910874,1.001897533206831,1.001897533206831,1.0017825311942958,1.0017825311942958,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,0.9393939393939394,0.9402852049910874,1.001897533206831,1.001897533206831,1.0017825311942958,1.0017825311942958,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianNB,,3,0.9701492537313433,1.0,0.5,0.75,0.6961432213383857,0.9459459459459459,0.9459459459459459,0.9459459459459459,0.972972972972973,0.9666666666666667,0.9698198198198198,1.0065237651444547,1.0065237651444547,1.0063063063063065,1.0063063063063065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,1.6666666666666665,1.6666666666666665,0.33333333333333337,1.0,0.6666666666666667,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9666666666666667,0.969047619047619,1.0049261083743841,1.0049261083743841,1.0047619047619047,1.0047619047619047,0.0,1.0,0.5,0.0,1.0,0.0,1.0
GaussianNB,,4,0.9850746268656716,1.0,0.6666666666666666,0.8333333333333333,0.8101914936669333,1.0046296296296295,1.0046296296296295,1.0044802867383513,0.9722222222222222,1.0,0.9861111111111112,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,1.0,1.5,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,0.9857142857142858,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0
