name,attribute,percent_pos_class,algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,sensitive-accuracy,0-accuracy_over_1-accuracy,sensitive-accuracyRatio,diff:1-accuracyto0-accuracy,comparative-sensitive-accuracy,0-TPR,1-TPR,sensitive-TPR,0-TPR_over_1-TPR,sensitive-TPRRatio,diff:1-TPRto0-TPR,comparative-sensitive-TPR,0-TNR,1-TNR,sensitive-TNR,0-TNR_over_1-TNR,sensitive-attr-TNRRatio,diff:1-TNRto0-TNR,comparative-sensitive-TNR,0-FPR,1-FPR,sensitive-attr-FPR,0-FPR_over_1-FPR,sensitive-attr-FPRRatio,diff:1-FPRto0-FPR,comparative-sensitive-attr-FPR,0-FNR,1-FNR,sensitive-attr-FNR,0-FNR_over_1-FNR,sensitive-attr-FNRRatio,diff:1-FNRto0-FNR,sensitive-attr-FNRDiff,0-calibration+,1-calibration+,sensitive-calibration+,0-calibration+_over_1-calibration+,sensitive-attr-calibration+Ratio,diff:1-calibration+to0-calibration+,comparative-sensitive-attr-calibration+,0-calibration-,1-calibration-,sensitive-calibration-,0-calibration-_over_1-calibration-,sensitive-calibration-Ratio,diff:1-calibration-to0-calibration-,comparative-sensitive-calibration-
two-gaussians,sensitive-attr,0.1,SVM,,0,0.970149254,0.75,1,0.875,0.851709948,1.03030303,1.03030303,1.002673797,1,0.941176471,0.970588235,1.0625,1.0625,1.058823529,1.058823529,1,0.6,0.8,1.666666667,1.666666667,1.4,1.4,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.4,0.2,0,1,0.6,0.6,1,1,1,1,1,1,1,0,0.064516129,0.032258065,0,1,0.935483871,0.935483871
two-gaussians,sensitive-attr,0.1,SVM,,1,1,1,1,1,1,0.618181818,0.618181818,0.943850267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,SVM,,2,1,1,1,1,1,0.457142857,0.457142857,0.898214286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,SVM,,3,1,1,1,1,1,0,1,0.829268293,1,1,1,1,1,1,1,0,1,0.5,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0.5,0,1,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,SVM,,4,0.985074627,0.8,1,0.9,0.887300168,0.323529412,0.323529412,0.938502674,1,0.96969697,0.984848485,1.03125,1.03125,1.03030303,1.03030303,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0.033333333,0.016666667,0,1,0.966666667,0.966666667
two-gaussians,sensitive-attr,0.1,SVM,,5,0.985074627,0.8,1,0.9,0.887300168,0.343434343,0.343434343,0.942067736,1,0.970588235,0.985294118,1.03030303,1.03030303,1.029411765,1.029411765,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0.032258065,0.016129032,0,1,0.967741935,0.967741935
two-gaussians,sensitive-attr,0.1,SVM,,6,1,1,1,1,1,0.4375,0.4375,0.919642857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,SVM,,7,1,1,1,1,1,0.411111111,0.411111111,0.904504505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
two-gaussians,sensitive-attr,0.1,SVM,,8,0.970149254,0.777777778,1,0.888888889,0.867093912,0.218390805,0.218390805,0.876588022,1,0.947368421,0.973684211,1.055555556,1.055555556,1.052631579,1.052631579,1,0.75,0.875,1.333333333,1.333333333,1.25,1.25,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0.25,0.125,0,1,0.75,0.75,1,1,1,1,1,1,1,0,0.0625,0.03125,0,1,0.9375,0.9375
two-gaussians,sensitive-attr,0.1,SVM,,9,1,1,1,1,1,0.436781609,0.436781609,0.91107078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
